tau_s,tau_m,answerable_retention,unanswerable_refusal,balanced_abstention_accuracy
-6.0,3.5,0.9890909090909091,0.7,0.8445454545454545
-6.0,4.0,0.9818181818181818,0.7,0.8409090909090908
-6.0,4.5,0.9745454545454545,0.8333333333333334,0.9039393939393939
-6.0,5.0,0.9636363636363636,0.8666666666666667,0.9151515151515152
-5.5,-5.0,0.9963636363636363,0.5666666666666667,0.7815151515151515
-5.5,-4.5,0.9963636363636363,0.5666666666666667,0.7815151515151515
-5.5,-4.0,0.9963636363636363,0.5666666666666667,0.7815151515151515
-5.5,-3.5,0.9963636363636363,0.5666666666666667,0.7815151515151515
-5.5,-3.0,0.9963636363636363,0.5666666666666667,0.7815151515151515
-5.5,-2.5,0.9963636363636363,0.5666666666666667,0.7815151515151515
-5.5,-2.0,0.9963636363636363,0.5666666666666667,0.7815151515151515
-5.5,-1.5,0.9963636363636363,0.5666666666666667,0.7815151515151515
-5.5,-1.0,0.9963636363636363,0.5666666666666667,0.7815151515151515
-5.5,-0.5,0.9963636363636363,0.5666666666666667,0.7815151515151515
-5.5,0.0,0.9963636363636363,0.5666666666666667,0.7815151515151515
-5.5,0.5,0.9963636363636363,0.5666666666666667,0.7815151515151515
-5.5,1.0,0.9927272727272727,0.6,0.7963636363636364
-5.5,1.5,0.9927272727272727,0.6,0.7963636363636364
-5.5,2.0,0.9927272727272727,0.6666666666666667,0.8296969696969697
-5.5,2.5,0.9927272727272727,0.6666666666666667,0.8296969696969697
-5.5,3.0,0.9927272727272727,0.7,0.8463636363636363
-5.5,3.5,0.9854545454545455,0.7,0.8427272727272728
-5.5,4.0,0.9781818181818182,0.7,0.8390909090909091
-5.5,4.5,0.9709090909090909,0.8333333333333334,0.9021212121212121
-5.5,5.0,0.96,0.8666666666666667,0.9133333333333333
-5.0,-5.0,0.9963636363636363,0.6333333333333333,0.8148484848484848
-5.0,-4.5,0.9963636363636363,0.6333333333333333,0.8148484848484848
-5.0,-4.0,0.9963636363636363,0.6333333333333333,0.8148484848484848
-5.0,-3.5,0.9963636363636363,0.6333333333333333,0.8148484848484848
-5.0,-3.0,0.9963636363636363,0.6333333333333333,0.8148484848484848
-5.0,-2.5,0.9963636363636363,0.6333333333333333,0.8148484848484848
-5.0,-2.0,0.9963636363636363,0.6333333333333333,0.8148484848484848
-5.0,-1.5,0.9963636363636363,0.6333333333333333,0.8148484848484848
-5.0,-1.0,0.9963636363636363,0.6333333333333333,0.8148484848484848
-5.0,-0.5,0.9963636363636363,0.6333333333333333,0.8148484848484848
-5.0,0.0,0.9963636363636363,0.6333333333333333,0.8148484848484848
-5.0,0.5,0.9963636363636363,0.6333333333333333,0.8148484848484848
-5.0,1.0,0.9927272727272727,0.6666666666666667,0.8296969696969697
-5.0,1.5,0.9927272727272727,0.6666666666666667,0.8296969696969697
-5.0,2.0,0.9927272727272727,0.7333333333333334,0.863030303030303
-5.0,2.5,0.9927272727272727,0.7333333333333334,0.863030303030303
-5.0,3.0,0.9927272727272727,0.7666666666666666,0.8796969696969696
-5.0,3.5,0.9854545454545455,0.7666666666666666,0.876060606060606
-5.0,4.0,0.9781818181818182,0.7666666666666666,0.8724242424242423
-5.0,4.5,0.9709090909090909,0.8666666666666667,0.9187878787878788
-5.0,5.0,0.96,0.8666666666666667,0.9133333333333333
-4.5,-5.0,0.9963636363636363,0.7,0.8481818181818181
-4.5,-4.5,0.9963636363636363,0.7,0.8481818181818181
-4.5,-4.0,0.9963636363636363,0.7,0.8481818181818181
-4.5,-3.5,0.9963636363636363,0.7,0.8481818181818181
-4.5,-3.0,0.9963636363636363,0.7,0.8481818181818181
-4.5,-2.5,0.9963636363636363,0.7,0.8481818181818181
-4.5,-2.0,0.9963636363636363,0.7,0.8481818181818181
-4.5,-1.5,0.9963636363636363,0.7,0.8481818181818181
-4.5,-1.0,0.9963636363636363,0.7,0.8481818181818181
-4.5,-0.5,0.9963636363636363,0.7,0.8481818181818181
-4.5,0.0,0.9963636363636363,0.7,0.8481818181818181
-4.5,0.5,0.9963636363636363,0.7,0.8481818181818181
-4.5,1.0,0.9927272727272727,0.7333333333333334,0.863030303030303
-4.5,1.5,0.9927272727272727,0.7333333333333334,0.863030303030303
-4.5,2.0,0.9927272727272727,0.7666666666666666,0.8796969696969696
-4.5,2.5,0.9927272727272727,0.7666666666666666,0.8796969696969696
-4.5,3.0,0.9927272727272727,0.8,0.8963636363636364
-4.5,3.5,0.9854545454545455,0.8,0.8927272727272728
-4.5,4.0,0.9781818181818182,0.8,0.8890909090909092
-4.5,4.5,0.9709090909090909,0.8666666666666667,0.9187878787878788
-4.5,5.0,0.96,0.8666666666666667,0.9133333333333333
-4.0,-5.0,0.9963636363636363,0.7333333333333334,0.8648484848484849
-4.0,-4.5,0.9963636363636363,0.7333333333333334,0.8648484848484849
-4.0,-4.0,0.9963636363636363,0.7333333333333334,0.8648484848484849
-4.0,-3.5,0.9963636363636363,0.7333333333333334,0.8648484848484849
-4.0,-3.0,0.9963636363636363,0.7333333333333334,0.8648484848484849
-4.0,-2.5,0.9963636363636363,0.7333333333333334,0.8648484848484849
-4.0,-2.0,0.9963636363636363,0.7333333333333334,0.8648484848484849
-4.0,-1.5,0.9963636363636363,0.7333333333333334,0.8648484848484849
-4.0,-1.0,0.9963636363636363,0.7333333333333334,0.8648484848484849
-4.0,-0.5,0.9963636363636363,0.7333333333333334,0.8648484848484849
-4.0,0.0,0.9963636363636363,0.7333333333333334,0.8648484848484849
-4.0,0.5,0.9963636363636363,0.7333333333333334,0.8648484848484849
-4.0,1.0,0.9927272727272727,0.7666666666666666,0.8796969696969696
-4.0,1.5,0.9927272727272727,0.7666666666666666,0.8796969696969696
-4.0,2.0,0.9927272727272727,0.7666666666666666,0.8796969696969696
-4.0,2.5,0.9927272727272727,0.7666666666666666,0.8796969696969696
-4.0,3.0,0.9927272727272727,0.8,0.8963636363636364
-4.0,3.5,0.9854545454545455,0.8,0.8927272727272728
