dataset,seed,system,n_total,n_answerable,n_unanswerable,coverage_all,coverage_answerable,false_refusal_answerable,refusal_unanswerable,hallucination_unanswerable,answer_retention,balanced_abstention_accuracy,refusal_precision,refusal_recall,refusal_f1,f1_all_answerable,em_all_answerable,f1_answered_only,em_answered_only,citation_when_answered
enterprise,20260511,AutoRAG,183,164,19,0.8743169398907104,0.9695121951219512,0.03048780487804878,0.9473684210526315,0.052631578947368474,0.9695121951219512,0.9584403080872914,0.782608695652174,0.9473684210526315,0.8571428571428571,0.3204835229775683,0.006097560975609756,0.33056162118441007,0.006289308176100629,0.9811320754716981
enterprise,20260511,RAG+Rerank+Abstain,183,164,19,0.8743169398907104,0.9695121951219512,0.03048780487804878,0.9473684210526315,0.052631578947368474,0.9695121951219512,0.9584403080872914,0.782608695652174,0.9473684210526315,0.8571428571428571,0.3204835229775683,0.006097560975609756,0.33056162118441007,0.006289308176100629,0.9811320754716981
enterprise,20260512,BM25,183,166,17,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.31365584031168153,0.012048192771084338,0.31365584031168153,0.012048192771084338,0.8855421686746988
enterprise,20260512,NaiveRAG,183,166,17,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.31786053304853495,0.012048192771084338,0.31786053304853495,0.012048192771084338,0.9518072289156626
enterprise,20260512,RAG+Rerank,183,166,17,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.3318256538365997,0.012048192771084338,0.3318256538365997,0.012048192771084338,0.9819277108433735
enterprise,20260512,AutoRAG,183,166,17,0.8688524590163934,0.9518072289156626,0.012048192771084338,0.7647058823529411,0.23529411764705888,0.9879518072289156,0.8763288447909283,0.8666666666666667,0.7647058823529411,0.8125,0.3270772484503488,0.012048192771084338,0.34363812178960695,0.012658227848101266,0.9936708860759493
enterprise,20260512,RAG+Rerank+Abstain,183,166,17,0.9180327868852459,0.9879518072289156,0.012048192771084338,0.7647058823529411,0.23529411764705888,0.9879518072289156,0.8763288447909283,0.8666666666666667,0.7647058823529411,0.8125,0.3270772484503488,0.012048192771084338,0.3310659953826701,0.012195121951219513,0.9878048780487805
enterprise,20260513,BM25,183,162,21,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.30967211738991746,0.012345679012345678,0.30967211738991746,0.012345679012345678,0.8950617283950617
enterprise,20260513,NaiveRAG,183,162,21,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.31154316579106944,0.012345679012345678,0.31154316579106944,0.012345679012345678,0.9506172839506173
enterprise,20260513,RAG+Rerank,183,162,21,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.3193212360389464,0.012345679012345678,0.3193212360389464,0.012345679012345678,0.9629629629629629
enterprise,20260513,AutoRAG,183,162,21,0.8743169398907104,0.9814814814814815,0.006172839506172839,0.8095238095238095,0.19047619047619047,0.9938271604938271,0.9016754850088183,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.3156901539764918,0.012345679012345678,0.3216465719760483,0.012578616352201259,0.9685534591194969
enterprise,20260513,RAG+Rerank+Abstain,183,162,21,0.9016393442622951,0.9938271604938271,0.006172839506172839,0.8095238095238095,0.19047619047619047,0.9938271604938271,0.9016754850088183,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.3156901539764918,0.012345679012345678,0.3176509623862837,0.012422360248447204,0.9627329192546584
enterprise,20260514,BM25,183,167,16,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.28414634792722715,0.005988023952095809,0.28414634792722715,0.005988023952095809,0.8922155688622755
enterprise,20260514,NaiveRAG,183,167,16,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.2894119817443654,0.005988023952095809,0.2894119817443654,0.005988023952095809,0.9341317365269461
enterprise,20260514,RAG+Rerank,183,167,16,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.3070226507479008,0.005988023952095809,0.3070226507479008,0.005988023952095809,0.9820359281437125
enterprise,20260514,AutoRAG,183,167,16,0.8907103825136612,0.9760479041916168,0.023952095808383235,1.0,0.0,0.9760479041916168,0.9880239520958084,0.8,1.0,0.888888888888889,0.3015042757332243,0.005988023952095809,0.30890315366532795,0.006134969325153374,0.9815950920245399
enterprise,20260514,RAG+Rerank+Abstain,183,167,16,0.8907103825136612,0.9760479041916168,0.023952095808383235,1.0,0.0,0.9760479041916168,0.9880239520958084,0.8,1.0,0.888888888888889,0.3015042757332243,0.005988023952095809,0.30890315366532795,0.006134969325153374,0.9815950920245399
enterprise,20260515,BM25,183,163,20,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.31130981553891734,0.012269938650306749,0.31130981553891734,0.012269938650306749,0.8650306748466258
enterprise,20260515,NaiveRAG,183,163,20,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.32001281507382634,0.012269938650306749,0.32001281507382634,0.012269938650306749,0.9386503067484663
enterprise,20260515,RAG+Rerank,183,163,20,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.33625080232636484,0.012269938650306749,0.33625080232636484,0.012269938650306749,0.9631901840490797
enterprise,20260515,AutoRAG,183,163,20,0.8579234972677595,0.9570552147239264,0.0,0.7,0.30000000000000004,1.0,0.85,1.0,0.7,0.8235294117647058,0.3316872461967771,0.012269938650306749,0.34657064826970935,0.01282051282051282,0.9743589743589743
enterprise,20260515,RAG+Rerank+Abstain,183,163,20,0.9234972677595629,1.0,0.0,0.7,0.30000000000000004,1.0,0.85,1.0,0.7,0.8235294117647058,0.33625080232636484,0.012269938650306749,0.33625080232636484,0.012269938650306749,0.9631901840490797
